Supervisor,total,exits,exit_rate,avg_tenure
Zachary Nelson,1,1,100.0,1.03
Aaron Andrews,1,1,100.0,2.23
Aaron Cochran,1,1,100.0,3.4
Aaron Erickson,1,1,100.0,3.69
Whitney Roberts,1,1,100.0,0.48
William Brown,1,1,100.0,0.42
William Castillo,1,1,100.0,0.2
William Cooper,1,1,100.0,3.72
William Ellis,1,1,100.0,0.47
Wendy Palmer,1,1,100.0,1.72
Wendy Williamson,1,1,100.0,0.02
Whitney Miller,1,1,100.0,0.06
Warren Baker,1,1,100.0,3.45
Warren Pollard,1,1,100.0,0.44
Wendy Daniels,1,1,100.0,3.13
Wendy Jackson,1,1,100.0,1.63
Wendy James,1,1,100.0,1.1
Virginia Smith,1,1,100.0,0.01
Walter Henry,1,1,100.0,0.18
Walter Powell,1,1,100.0,0.72
